X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2205575685857,44.9655203292471,00002X 27TH AVE SE,MP2021702756        ,2     ,2021/04/26 00:00:00+00,1156,2021/04/24 00:00:00+00,2021/04/26 11:56:00+00,2300,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/04/26 00:00:00+00,22044,-93.22055902,44.96552236,-10377265,5616095,Prospect Park - East River Road,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4128
-93.230717514449,45.0141094252932,0025XX CLEVELAND ST NE,MP2021702757        ,2     ,2021/04/26 00:00:00+00,1200,2021/04/25 00:00:00+00,2021/04/26 12:00:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,10637,-93.23071969,45.01411565,-10378396,5623743,Audubon Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4129
-93.2491239946207,45.0115183692617,0023XX JACKSON ST NE,MP2021702758        ,2     ,2021/04/26 00:00:00+00,704,2021/04/23 00:00:00+00,2021/04/26 07:04:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,11150,-93.2491276,45.01152123,-10380445,5623335,Holland,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4130
-93.256795607147,44.967713062384,0012XX 9TH ST S,MP202174277         ,1     ,2021/04/09 00:00:00+00,2050,2021/04/09 00:00:00+00,2021/04/09 20:50:00+00,2050,ROBPER  ,ROBBERY OF PERSON             ,04 ,2021/04/26 00:00:00+00,20020,-93.25680309,44.96771406,-10381299,5616440,Elliot Park,2021/04/28 00:00:00+00,2021/04/29 07:03:23+00,4131
-93.2500133267519,45.0121724949586,0008XX 24TH AVE NE,MP202184651         ,2     ,2021/04/26 00:00:00+00,744,2021/04/16 00:00:00+00,2021/04/26 07:44:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,11298,-93.25001524,45.01217371,-10380544,5623438,Holland,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4132
-93.3044422498167,44.995772643633,0016XX MORGAN AVE N,MP202184657         ,4     ,2021/04/26 00:00:00+00,808,2021/04/22 00:00:00+00,2021/04/26 08:08:00+00,2230,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,22230,-93.30444715,44.99577428,-10386603,5620856,Willard - Hay,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4133
-93.2191112809782,44.9537989082391,,MP202184667         ,3     ,2021/04/23 00:00:00+00,1441,2021/04/23 00:00:00+00,2021/04/23 14:41:00+00,1200,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/04/26 00:00:00+00,,-93.21911,44.9538,-10377104,5614251,Seward,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4134
-93.2562745842822,44.952832610527,0027XX 13TH AVE S,MP202184716         ,3     ,2021/04/26 00:00:00+00,1257,2021/04/23 00:00:00+00,2021/04/26 12:57:00+00,1500,ROBPER  ,ROBBERY OF PERSON             ,04 ,2021/04/26 00:00:00+00,21908,-93.25627565,44.95283782,-10381241,5614099,Midtown Phillips,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4135
-93.2849308418457,45.0053514384572,0025XX 4TH ST N,MP202184936         ,4     ,2021/04/23 00:00:00+00,2158,2021/04/23 00:00:00+00,2021/04/23 21:58:00+00,2158,ROBPAG  ,ROBBERY PER AGG               ,04 ,2021/04/24 00:00:00+00,20351,-93.28493095,45.00535564,-10384431,5622364,Hawthorne,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4136
-93.2761632846726,44.9943433094971,0014XX WEST RIVER RD N,MP202184945         ,4     ,2021/04/23 00:00:00+00,2227,2021/04/23 00:00:00+00,2021/04/23 22:27:00+00,2227,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/24 00:00:00+00,21114,-93.27616625,44.99434886,-10383455,5620631,Near - North,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4137
-93.2737378334055,44.9803720736783,,MP202184979         ,1     ,2021/04/24 00:00:00+00,1,2021/04/23 00:00:00+00,2021/04/24 00:01:00+00,2248,ASLT3   ,ASLT-SGNFCNT BDLY HM          ,05 ,2021/04/27 00:00:00+00,,-93.27374,44.98037,-10383185,5618432,Downtown West,2021/04/27 00:00:00+00,2021/04/27 08:09:32+00,4138
-93.240904409771,44.963982188159,,MP202185146         ,3     ,2021/04/24 00:00:00+00,346,2021/04/24 00:00:00+00,2021/04/24 03:46:00+00,345,CARJCK  ,ROBBERY INCLUDING AUTO THEFT  ,,2021/04/24 00:00:00+00,,-93.24091,44.96399,-10379530,5615853,Seward,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4139
-93.235361804468,44.9627554593003,0025XX FRANKLIN AVE E,MP202185218         ,3     ,2021/04/24 00:00:00+00,1043,2021/04/23 00:00:00+00,2021/04/24 10:43:00+00,2130,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/24 00:00:00+00,15159,-93.23536605,44.96275943,-10378913,5615660,Seward,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4140
-93.2270254386313,44.9636071805663,0009XX FRANKLIN TERR ,MP202185246         ,3     ,2021/04/24 00:00:00+00,1022,2021/04/24 00:00:00+00,2021/04/24 10:22:00+00,1022,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,13214,-93.22703098,44.96360924,-10377985,5615794,Seward,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4141
-93.3124911547625,44.909675925843,0051XX SHERIDAN AVE S,MP202185452         ,5     ,2021/04/24 00:00:00+00,1400,2021/04/24 00:00:00+00,2021/04/24 14:00:00+00,200,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/04/26 00:00:00+00,13920,-93.31249248,44.90967904,-10387499,5607313,Fulton,2021/04/27 00:00:00+00,2021/04/28 07:00:27+00,4142
-93.2113678032291,44.9144472683553,0049XX SOUTH MINNEHAHA PARK DR ,MP202185577         ,3     ,2021/04/24 00:00:00+00,1935,2021/04/24 00:00:00+00,2021/04/24 19:35:00+00,1935,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/25 00:00:00+00,17786,-93.2113691,44.91445114,-10376242,5608063,Hiawatha,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4143
-93.2472644819825,44.9634673465992,0009XX CEDAR AVE S,MP202185593         ,3     ,2021/04/24 00:00:00+00,1928,2021/04/24 00:00:00+00,2021/04/24 19:28:00+00,200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/04/26 00:00:00+00,18794,-93.24726717,44.96347096,-10380238,5615772,Seward,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4144
-93.2812746986393,44.9582169701103,0024XX PILLSBURY AVE ,MP202185612         ,5     ,2021/04/25 00:00:00+00,3,2021/04/24 00:00:00+00,2021/04/25 00:03:00+00,2000,CARJCK  ,ROBBERY INCLUDING AUTO THEFT  ,,2021/04/26 00:00:00+00,19127,-93.28128103,44.95822019,-10384024,5614946,Whittier,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4145
-93.2210246925334,44.9196825657102,0035XX 46TH ST E,MP202185650         ,3     ,2021/04/24 00:00:00+00,2155,2021/04/24 00:00:00+00,2021/04/24 21:55:00+00,500,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/04/26 00:00:00+00,15791,-93.22103275,44.91968663,-10377317,5608886,Ericsson,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4146
-93.2626166901881,44.9439444514844,0032XX CHICAGO AVE ,MP202185808         ,3     ,2021/04/25 00:00:00+00,150,2021/04/25 00:00:00+00,2021/04/25 01:50:00+00,5,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2021/04/26 00:00:00+00,22419,-93.2626206,44.94394961,-10381947,5612701,Central,2021/04/30 00:00:00+00,2021/04/30 07:03:16+00,4147
-93.2363858838918,44.9820241481032,,MP202185814         ,2     ,2021/04/25 00:00:00+00,307,2021/04/25 00:00:00+00,2021/04/25 03:07:00+00,17,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,,-93.23639,44.98203,-10379027,5618692,Marcy Holmes,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4148
-93.2577478213482,44.9899852084836,0001XX UNIVERSITY AVE NE,MP202185834         ,2     ,2021/04/25 00:00:00+00,45,2021/04/25 00:00:00+00,2021/04/25 00:45:00+00,45,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,05,2021/04/26 00:00:00+00,17296,-93.25775652,44.98998637,-10381405,5619945,Nicollet Island - East Bank,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4149
-93.2242586275562,44.913518478063,0049XX 33RD AVE S,MP202185867         ,3     ,2021/04/25 00:00:00+00,135,2021/04/25 00:00:00+00,2021/04/25 01:35:00+00,130,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/04/26 00:00:00+00,12917,-93.22426073,44.91351873,-10377677,5607917,Keewaydin,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4150
-93.272525107772,44.9783259770581,00001X 6TH ST S,MP202185893         ,1     ,2021/04/25 00:00:00+00,213,2021/04/25 00:00:00+00,2021/04/25 02:13:00+00,213,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,17241,-93.27252943,44.97833114,-10383050,5618110,Downtown West,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4151
-93.3025378214144,45.013207649484,0018XX LOWRY AVE N,MP202185948         ,4     ,2021/04/25 00:00:00+00,810,2021/04/25 00:00:00+00,2021/04/25 08:10:00+00,640,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2021/04/26 00:00:00+00,10576,-93.30254475,45.01320778,-10386391,5623601,Folwell,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4152
-93.2983247227319,45.034395626934,0043XX HUMBOLDT AVE N,MP202185995         ,4     ,2021/04/25 00:00:00+00,1114,2021/04/25 00:00:00+00,2021/04/25 11:14:00+00,1114,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/04/26 00:00:00+00,10445,-93.29833065,45.03439816,-10385922,5626938,Webber - Camden,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4153
-93.2832240428058,44.9669249592535,0003XX OAK GROVE ST ,MP202186022         ,1     ,2021/04/25 00:00:00+00,1119,2021/04/24 00:00:00+00,2021/04/25 11:19:00+00,2100,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,15057,-93.28322844,44.96692818,-10384241,5616316,Loring Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4154
-93.2414433989414,44.9413311472282,0021XX 34TH ST E,MP202186043         ,3     ,2021/04/25 00:00:00+00,1215,2021/04/25 00:00:00+00,2021/04/25 12:15:00+00,100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/04/26 00:00:00+00,11577,-93.2414455,44.94133526,-10379590,5612290,Corcoran,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4155
-93.2447402160342,44.9755363053388,0019XX 1ST ST S,MP202186060         ,1     ,2021/04/25 00:00:00+00,1230,2021/04/23 00:00:00+00,2021/04/25 12:30:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,22062,-93.24474317,44.97553894,-10379957,5617671,Cedar Riverside,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4156
-93.2480460162797,44.9483696297395,0018XX LAKE ST E,MP202186064         ,3     ,2021/04/25 00:00:00+00,1206,2021/04/23 00:00:00+00,2021/04/25 12:06:00+00,1423,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,21925,-93.24804949,44.94837021,-10380325,5613397,East Phillips,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4157
